Sender ,Empfänger 
Barbie,BND
Barbie ,CIC
Barbie,Draganovic
Barbie,Hudal
BND,Barbie
CIC,Barbie
CIC,Draganovic
Draganovic,Barbie
Draganovic,CIC
Draganovic,Hudal
Doemoeter,Eichmann
Doemoeter,Hudal
Doemoeter,Kopps
Eichmann,Doemoeter
Eichmann,Hudal
Hudal,Priebke
Hudal,Stangl
Hudal,Mengele
Hudal,Eichmann
Hudal,Barbie
Hudal,Rudel
Hudal,Kopps
Hudal,Draganovic
Hudal,Peron
Hudal,Pius
Hudal,Doemoeter
Kopps,Doemoeter
Kopps,Hudal
Mengele,Hudal
Montini,Pius
Peron,Hudal
Peron,Pius
Peron,Rudel
Pius,Hudal
Pius,Montini
Pius,Peron
Priebke,Hudal
Rudel,Hudal
Rudel,Mengele
Rudel,Peron
Stangl,Hudal
